,slope,intercept,rvalue,pvalue,stderr,function,dataStructure,metric
0,   1.761e-02,   1.292e+03,   1.000e+00,   3.159e-05,   9.895e-05,Exploding,sorted-asc,elapsedTime
0,   7.925e+03,   8.965e+09,   9.946e-01,   5.418e-03,   5.857e+02,Exploding,sorted-asc,peakExecutionMemory
0,   1.217e-02,   1.124e+03,   1.000e+00,   2.910e-06,   2.075e-05,EarlyStopSortMerge,sorted-asc,elapsedTime
0,   3.445e+03,   1.284e+10,   9.989e-01,   1.138e-03,   1.163e+02,EarlyStopSortMerge,sorted-asc,peakExecutionMemory
0,   2.674e-02,   1.698e+03,   1.000e+00,   4.656e-07,   1.825e-05,Union,sorted-asc,elapsedTime
0,   4.785e+03,   5.640e+09,   9.982e-01,   1.835e-03,   2.052e+02,Union,sorted-asc,peakExecutionMemory
0,   1.725e-02,   6.822e+02,   1.000e+00,   6.318e-06,   4.335e-05,Exploding,sorted-desc,elapsedTime
0,   7.925e+03,   8.965e+09,   9.946e-01,   5.418e-03,   5.857e+02,Exploding,sorted-desc,peakExecutionMemory
0,   1.175e-02,   9.358e+02,   1.000e+00,   3.719e-06,   2.265e-05,EarlyStopSortMerge,sorted-desc,elapsedTime
0,   3.445e+03,   1.284e+10,   9.989e-01,   1.138e-03,   1.163e+02,EarlyStopSortMerge,sorted-desc,peakExecutionMemory
0,   2.730e-02,   1.314e+03,   1.000e+00,   2.048e-06,   3.907e-05,Union,sorted-desc,elapsedTime
0,   4.785e+03,   5.640e+09,   9.982e-01,   1.835e-03,   2.052e+02,Union,sorted-desc,peakExecutionMemory
0,   3.129e-02,  -5.549e+02,   1.000e+00,   4.554e-05,   2.111e-04,Exploding,sorted-rand,elapsedTime
0,   7.925e+03,   8.965e+09,   9.946e-01,   5.418e-03,   5.857e+02,Exploding,sorted-rand,peakExecutionMemory
0,   4.383e-02,  -3.544e+03,   9.997e-01,   3.252e-04,   7.906e-04,EarlyStopSortMerge,sorted-rand,elapsedTime
0,   3.445e+03,   1.284e+10,   9.989e-01,   1.138e-03,   1.163e+02,EarlyStopSortMerge,sorted-rand,peakExecutionMemory
0,   6.356e-02,  -3.381e+03,   9.998e-01,   1.548e-04,   7.910e-04,Union,sorted-rand,elapsedTime
0,   4.785e+03,   5.640e+09,   9.982e-01,   1.835e-03,   2.052e+02,Union,sorted-rand,peakExecutionMemory
