numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,205,18813,19072,36496,35955,417,478,0,244,0,856,1192174,0,0,22701670400,5050,230812960,0,0,50486551,1000,1000,0,398926189,398926189,0,0,398926189,50486551,1
4,205,18361,23966,35645,35295,403,460,0,236,0,961,1192518,0,0,22701670400,5050,230812960,0,0,50486551,1000,1000,0,398926189,398926189,0,0,398926189,50486551,3
4,205,18556,24088,36022,35611,398,467,0,219,0,852,1192260,0,0,22701670400,5050,230812960,0,0,50486551,1000,1000,0,398926189,398926189,0,0,398926189,50486551,5
4,205,18267,23783,35427,35072,405,472,0,232,0,868,1192303,0,0,22701670400,5050,230812960,0,0,50486551,1000,1000,0,398926189,398926189,0,0,398926189,50486551,7
4,205,18115,23784,35148,34704,395,457,0,218,0,938,1192346,0,0,22701670400,5050,230812960,0,0,50486551,1000,1000,0,398926189,398926189,0,0,398926189,50486551,8
4,205,18040,23511,34960,34626,400,461,0,220,0,850,1192346,0,0,22701670400,5050,230812960,0,0,50486551,1000,1000,0,398926189,398926189,0,0,398926189,50486551,9
4,205,18177,18368,35218,34891,404,472,0,210,0,854,1192389,0,0,22701670400,5050,230812960,0,0,50486551,1000,1000,0,398926189,398926189,0,0,398926189,50486551,2
4,205,18458,24003,35833,35488,423,472,0,226,0,858,1192432,0,0,22701670400,5050,230812960,0,0,50486551,1000,1000,0,398926189,398926189,0,0,398926189,50486551,4
4,205,18123,23697,35068,34758,410,465,0,192,0,856,1192346,0,0,22701670400,5050,230812960,0,0,50486551,1000,1000,0,398926189,398926189,0,0,398926189,50486551,6
4,205,18140,18328,35229,34875,411,475,0,224,0,860,1192475,0,0,22701670400,5050,230812960,0,0,50486551,1000,1000,0,398926189,398926189,0,0,398926189,50486551,10
